,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
7,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,True,False,False,LS,-7.924,0.256,0.34,0.139
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-7.018,0.246,-1.536,0.301
2,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-9.512,0.28,-1.932,0.328
3,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.88,0.242,-1.56,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-7.018,0.246,0.157,0.158
6,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-9.512,0.28,0.952,0.037
7,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.88,0.242,0.434,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-7.018,0.246,0.157,0.158
2,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-9.512,0.28,0.952,0.037
3,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.88,0.242,0.434,0.13
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-7.018,0.246,0.157,0.158
6,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-9.512,0.28,0.952,0.037
7,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.88,0.242,0.434,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-7.018,0.246,-1.536,0.301
2,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-9.512,0.28,-1.932,0.328
3,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.88,0.242,-1.56,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-7.018,0.246,0.157,0.158
6,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-9.512,0.28,0.952,0.037
7,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.88,0.242,0.434,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-7.018,0.246,0.157,0.158
2,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-9.512,0.28,0.952,0.037
3,0.2,10.0,closest,observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.88,0.242,0.434,0.13
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-7.018,0.246,0.157,0.158
6,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-9.512,0.28,0.952,0.037
7,0.2,10.0,closest,Observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.88,0.242,0.434,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,True,LT,-2.34,0.16,-0.492,0.236
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,True,ID,-5.576,0.225,-1.019,0.271
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,True,LS,-1.805,0.148,-0.476,0.232
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,True,LT,-2.34,0.16,-0.758,0.228
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,True,ID,-5.576,0.225,-0.199,0.187
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,True,LS,-1.805,0.148,-0.102,0.18
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,False,LT,-5.206,0.222,0.202,0.15
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,False,ID,-8.841,0.274,0.719,0.092
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,True,False,LS,-6.545,0.238,0.524,0.117
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,False,LT,-5.206,0.222,0.202,0.15
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,False,ID,-8.841,0.274,0.719,0.092
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,True,False,LS,-6.545,0.238,0.524,0.117
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,True,LT,-2.768,0.174,-0.741,0.252
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,True,ID,-4.945,0.214,-0.993,0.272
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,True,LS,-1.946,0.148,-0.66,0.239
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,True,LT,-2.768,0.174,-1.112,0.25
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,True,ID,-4.945,0.214,-0.223,0.194
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,True,LS,-1.946,0.148,-0.372,0.198
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,False,LT,-4.584,0.208,0.17,0.156
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,False,ID,-7.893,0.259,0.813,0.076
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,True,False,False,LS,-6.001,0.232,0.457,0.128
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,False,LT,-4.584,0.208,0.17,0.156
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,False,ID,-7.893,0.259,0.813,0.076
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,True,False,False,LS,-6.001,0.232,0.457,0.128
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,True,LT,-2.57,0.17,-0.538,0.232
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,True,ID,-4.622,0.206,-0.688,0.256
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,True,LS,-1.832,0.148,-0.434,0.226
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,True,LT,-2.57,0.17,-1.044,0.238
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,True,ID,-4.622,0.206,-0.124,0.178
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,True,LS,-1.832,0.148,-0.292,0.19
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,False,LT,-4.685,0.21,0.096,0.164
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,False,ID,-7.884,0.258,0.762,0.085
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,True,False,LS,-6.347,0.23,0.383,0.137
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,False,LT,-4.685,0.21,0.096,0.164
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,False,ID,-7.884,0.258,0.762,0.085
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,True,False,LS,-6.347,0.23,0.383,0.137
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,True,LT,-2.341,0.154,-0.44,0.232
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,True,ID,-4.942,0.211,-0.835,0.262
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,True,LS,-1.626,0.14,-0.464,0.228
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,True,LT,-2.341,0.154,-0.928,0.24
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,True,ID,-4.942,0.211,-0.3,0.194
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,True,LS,-1.626,0.14,-0.268,0.196
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,False,LT,-5.02,0.211,0.186,0.155
2,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,False,ID,-8.283,0.262,0.724,0.09
3,0.2,10.0,closest,observed,FSeq,ROPE,0.01,False,False,False,LS,-6.352,0.244,0.431,0.128
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,False,LT,-5.02,0.211,0.186,0.155
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,False,ID,-8.283,0.262,0.724,0.09
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.01,False,False,False,LS,-6.352,0.244,0.431,0.128
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,True,LT,-3.077,0.174,-0.607,0.243
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,True,ID,-5.641,0.226,-0.946,0.268
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,True,LS,-2.264,0.157,-0.554,0.232
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,True,LT,-3.077,0.174,-0.829,0.235
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,True,ID,-5.641,0.226,-0.079,0.18
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,True,LS,-2.264,0.157,-0.083,0.181
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,False,LT,-4.754,0.213,0.334,0.136
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,False,ID,-8.418,0.269,0.811,0.075
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,True,False,LS,-6.422,0.24,0.548,0.111
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,False,LT,-4.754,0.213,0.334,0.136
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,False,ID,-8.418,0.269,0.811,0.075
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,True,False,LS,-6.422,0.24,0.548,0.111
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,True,LT,-3.069,0.174,-0.835,0.258
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,True,ID,-5.424,0.22,-1.074,0.28
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,True,LS,-2.039,0.155,-0.674,0.25
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,True,LT,-3.069,0.174,-0.935,0.241
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,True,ID,-5.424,0.22,-0.097,0.179
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,True,LS,-2.039,0.155,-0.158,0.186
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,False,LT,-4.435,0.205,0.17,0.156
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,False,ID,-7.629,0.256,0.746,0.086
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,True,False,False,LS,-5.838,0.225,0.477,0.123
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,False,LT,-4.435,0.205,0.17,0.156
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,False,ID,-7.629,0.256,0.746,0.086
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,True,False,False,LS,-5.838,0.225,0.477,0.123
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,True,LT,-2.382,0.162,-0.675,0.25
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,True,ID,-4.291,0.198,-0.911,0.266
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,True,LS,-1.62,0.14,-0.642,0.242
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,True,LT,-2.382,0.162,-0.948,0.241
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,True,ID,-4.291,0.198,-0.041,0.175
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,True,LS,-1.62,0.14,-0.26,0.194
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,False,LT,-4.026,0.195,0.136,0.156
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,False,ID,-7.15,0.248,0.805,0.078
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,True,False,LS,-5.6,0.222,0.444,0.13
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,False,LT,-4.026,0.195,0.136,0.156
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,False,ID,-7.15,0.248,0.805,0.078
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,True,False,LS,-5.6,0.222,0.444,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,True,LT,-2.535,0.165,-0.504,0.232
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,True,ID,-5.702,0.225,-0.902,0.266
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,True,LS,-2.034,0.152,-0.464,0.231
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,True,LT,-2.535,0.165,-0.676,0.222
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,True,ID,-5.702,0.225,-0.086,0.177
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,True,LS,-2.034,0.152,-0.028,0.172
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,False,LT,-4.194,0.198,0.182,0.152
2,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,False,ID,-7.363,0.253,0.827,0.072
3,0.2,10.0,closest,observed,FSeq,ROPE,0.07,False,False,False,LS,-5.848,0.224,0.468,0.128
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,False,LT,-4.194,0.198,0.182,0.152
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,False,ID,-7.363,0.253,0.827,0.072
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.07,False,False,False,LS,-5.848,0.224,0.468,0.128
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,True,LT,-2.834,0.175,-0.76,0.26
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,True,ID,-5.309,0.222,-1.158,0.28
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,True,LS,-2.14,0.156,-0.8,0.252
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,True,LT,-2.834,0.175,-0.827,0.232
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,True,ID,-5.309,0.222,-0.042,0.176
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,True,LS,-2.14,0.156,-0.118,0.183
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,False,LT,-4.993,0.212,0.26,0.154
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,False,ID,-8.356,0.266,0.811,0.074
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,True,False,LS,-6.296,0.236,0.542,0.12
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,False,LT,-4.993,0.212,0.26,0.154
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,False,ID,-8.356,0.266,0.811,0.074
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,True,False,LS,-6.296,0.236,0.542,0.12
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,True,LT,-3.33,0.182,-0.544,0.246
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,True,ID,-5.875,0.228,-1.045,0.274
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,True,LS,-2.247,0.159,-0.473,0.234
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,True,LT,-3.33,0.182,-0.966,0.242
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,True,ID,-5.875,0.228,-0.302,0.195
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,True,LS,-2.247,0.159,-0.227,0.191
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,False,LT,-4.358,0.205,0.256,0.152
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,False,ID,-8.234,0.26,0.829,0.07
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,True,False,False,LS,-5.986,0.229,0.536,0.124
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,False,LT,-4.358,0.205,0.256,0.152
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,False,ID,-8.234,0.26,0.829,0.07
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,True,False,False,LS,-5.986,0.229,0.536,0.124
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,True,LT,-2.983,0.176,-0.847,0.26
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,True,ID,-5.001,0.219,-1.143,0.278
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,True,LS,-2.295,0.16,-0.801,0.254
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,True,LT,-2.983,0.176,-0.785,0.23
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,True,ID,-5.001,0.219,0.0,0.172
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,True,LS,-2.295,0.16,-0.138,0.184
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,False,LT,-4.408,0.207,0.081,0.165
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,False,ID,-7.693,0.252,0.766,0.085
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,True,False,LS,-5.595,0.224,0.448,0.13
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,False,LT,-4.408,0.207,0.081,0.165
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,False,ID,-7.693,0.252,0.766,0.085
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,True,False,LS,-5.595,0.224,0.448,0.13
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,True,LT,-2.336,0.161,-0.679,0.254
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,True,ID,-5.142,0.214,-1.08,0.274
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,True,LS,-1.594,0.142,-0.631,0.246
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,True,LT,-2.336,0.161,-0.861,0.23
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,True,ID,-5.142,0.214,-0.113,0.181
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,True,LS,-1.594,0.142,-0.142,0.184
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,False,LT,-4.69,0.206,0.198,0.154
2,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,False,ID,-7.835,0.26,0.8,0.078
3,0.2,10.0,closest,observed,FSeq,ROPE,0.2,False,False,False,LS,-6.156,0.232,0.474,0.125
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,False,LT,-4.69,0.206,0.198,0.154
6,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,False,ID,-7.835,0.26,0.8,0.078
7,0.2,10.0,closest,Observed,FSeq,ROPE,0.2,False,False,False,LS,-6.156,0.232,0.474,0.125
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,True,LT,-7.831,0.258,-1.762,0.315
2,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,True,ID,-9.824,0.291,-2.245,0.338
3,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,True,LS,-7.98,0.258,-1.737,0.316
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,True,LT,-7.831,0.258,0.095,0.166
6,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,True,ID,-9.824,0.291,0.906,0.052
7,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,True,LS,-7.98,0.258,0.268,0.148
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,False,LT,-7.831,0.258,0.095,0.166
2,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,False,ID,-9.824,0.291,0.906,0.052
3,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,True,False,LS,-7.98,0.258,0.268,0.148
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,False,LT,-7.831,0.258,0.095,0.166
6,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,False,ID,-9.824,0.291,0.906,0.052
7,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,True,False,LS,-7.98,0.258,0.268,0.148
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,False,True,LT,-7.831,0.258,-1.762,0.315
2,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,False,True,ID,-9.824,0.291,-2.245,0.338
3,0.2,10.0,closest,observed,CS,Gauss-Newton,0.01,True,False,True,LS,-7.98,0.258,-1.737,0.316
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,False,True,LT,-7.831,0.258,0.095,0.166
6,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,False,True,ID,-9.824,0.291,0.906,0.052
7,0.2,10.0,closest,Observed,CS,Gauss-Newton,0.01,True,False,True,LS,-7.98,0.258,0.268,0.148
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
