x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,Unnamed: 0,x_clhs,y_clhs,z,t,code,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
107766.4694,183327.2822,27.1940128,42851.76,13.5646892747165,16.559856143445508,20.391574306565698,20.421520059826356,36.56436641682962,24.82581911198176,0.95,1.04,1.01,0.52,1.29,-2.6,22744,107766.469,183327.314,27.1795488,42851.76,11,50,6.75,4.891,12.692,54.808,32.5,0.0,0.0,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.025952651407188998,139.44494630864747,0.11687088780528117,0.12002717432383346,43.150017828568544,27.70306981351642,14.272849997890985,20.18625307346104,33.17864880690196,44.57249585583101,14.272849997890985,13.503458899945672,0.014682
107777.0025,183299.3846,27.85,42500.46,52.27862476228688,35.57450514523888,74.30037449403083,51.26811006947504,93.84631327526957,78.88805967777934,0.97,1.03,1.02,0.43,1.45,-2.6,19443,107777.021,183299.37,27.85,42500.46,12,50,7.24,8.064,16.931,50.535,32.534,0.0,0.0,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.03450771366476781,220.38682663173913,0.14880874717411624,0.15506556344369274,55.74639130585397,57.93966523381797,59.82619644828703,82.23667898296867,104.80253280554322,117.94202727318432,59.82619644828703,58.97899989828345,0.011373
107752.314,183298.7686,27.45,41407.83,63.1542911111864,58.254680833560215,71.27211995836137,73.96332806859655,60.7363989955575,79.65510213760747,0.99,1.0,1.04,0.22,1.4,-3.37,9680,107752.33,183298.809,27.45,41407.83,13,50,7.34,19.254,32.385,27.489,40.126,0.0,0.0,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.052398312981957997,394.7861890526277,0.1523186996661532,0.15643231142446115,56.23774003641895,111.95390556011311,77.46750612990596,64.57822327643218,57.95928359079783,55.40900636322337,77.46750612990596,75.54748830942988,0.091297
107732.7209,183327.4299,26.5541536,41420.95,51.73604523280692,41.79230698454023,63.22506231228517,60.39018770103444,64.82073414567276,73.71264153852347,0.99,0.99,1.03,0.17,1.36,-3.48,9811,107732.66,183327.436,26.5541536,41420.95,14,50,6.92,7.14,12.707,11.525,75.767,0.0,0.0,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.02666899566745747,145.7912517270502,0.15064246868673514,0.15033671360213308,54.046359991100225,80.35598874936122,64.16869608180227,65.30023069780493,68.02116421269879,68.96967174162324,64.16869608180227,60.60084005736061,0.010183
107776.5235,183291.4178,27.95,42241.07,70.79326598704814,52.40081366873415,90.95239205642471,70.68629055446982,102.00872737067876,91.17045352149783,0.98,1.0,1.05,0.26,1.59,-3.59,17044,107776.543,183291.428,27.95,42241.07,15,50,7.45,10.744,22.892,50.941,26.167,0.0,0.0,1.724,0.30856,400,22.8,30.7,32.4,0.04817847354827262,0.02372,0.05042705732088474,377.5419441549641,0.14435497692366328,0.15105444947328409,54.304387523705564,91.04771829169594,80.3139764388468,92.7108373556722,108.57677395478994,119.4704095793736,80.3139764388468,79.88200395917089,0.037271
107766.4694,183327.2822,27.1940128,42851.76,13.5646892747165,16.559856143445508,20.391574306565698,20.421520059826356,36.56436641682962,24.82581911198176,0.95,1.04,1.01,0.52,1.29,-2.6,22744,107766.469,183327.314,27.1795488,42851.76,11,10,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.017148600977618545,59.99070981615566,0.1077020778871218,0.1115315886323461,40.095837172255116,27.70306981351642,14.272849997890985,20.18625307346104,33.17864880690196,44.57249585583101,27.70306981351642,26.801170429329247,0.017833
107777.0025,183299.3846,27.85,42500.46,52.27862476228688,35.57450514523888,74.30037449403083,51.26811006947504,93.84631327526957,78.88805967777934,0.97,1.03,1.02,0.43,1.45,-2.6,19443,107777.021,183299.37,27.85,42500.46,12,10,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.01880373969868742,73.28343593161576,0.12231479038729613,0.12852883152569752,46.206381205440685,57.93966523381797,59.82619644828703,82.23667898296867,104.80253280554322,117.94202727318432,57.93966523381797,57.5826182817819,0.020852
107752.314,183298.7686,27.45,41407.83,63.1542911111864,58.254680833560215,71.27211995836137,73.96332806859655,60.7363989955575,79.65510213760747,0.99,1.0,1.04,0.22,1.4,-3.37,9680,107752.33,183298.809,27.45,41407.83,13,10,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.019394283893210996,78.67572735670687,0.15837191635243025,0.1650308258701515,59.32892379310486,111.95390556011311,77.46750612990596,64.57822327643218,57.95928359079783,55.40900636322337,111.95390556011311,111.42330586897833,0.026394
107732.7209,183327.4299,26.5541536,41420.95,51.73604523280692,41.79230698454023,63.22506231228517,60.39018770103444,64.82073414567276,73.71264153852347,0.99,0.99,1.03,0.17,1.36,-3.48,9811,107732.66,183327.436,26.5541536,41420.95,14,10,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.034620489365841715,218.8522338280602,0.13424701360945826,0.13452038603781155,48.36035746519192,80.35598874936122,64.16869608180227,65.30023069780493,68.02116421269879,68.96967174162324,80.35598874936122,76.47460726754419,0.034503
107776.5235,183291.4178,27.95,42241.07,70.79326598704814,52.40081366873415,90.95239205642471,70.68629055446982,102.00872737067876,91.17045352149783,0.98,1.0,1.05,0.26,1.59,-3.59,17044,107776.543,183291.428,27.95,42241.07,15,10,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.02632455123629084,143.13294976943058,0.12172650849840003,0.12684462428980836,45.60090521498249,91.04771829169594,80.3139764388468,92.7108373556722,108.57677395478994,119.4704095793736,91.04771829169594,90.33927745508409,0.023604
