,cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
1,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,True,ID,-9.451,0.284,-2.188,0.336
2,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,True,LS,-7.678,0.254,-1.813,0.314
0,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,False,LT,-7.496,0.253,-1.778,0.312
1,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,False,ID,-9.451,0.284,-2.188,0.336
2,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,False,LS,-7.678,0.254,-1.813,0.314
0,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,True,LT,-5.954,0.223,-1.856,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,True,ID,-8.561,0.262,-2.294,0.342
2,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,True,LS,-6.868,0.238,-1.951,0.322
0,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,False,LT,-5.954,0.223,-1.856,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,False,ID,-8.561,0.262,-2.294,0.342
2,0.2,10,mean,CS,Gauss-Newton,0.01,False,True,False,LS,-6.868,0.238,-1.951,0.322
0,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,True,LT,-5.954,0.223,-1.856,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,True,ID,-8.561,0.262,-2.294,0.342
2,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,True,LS,-6.868,0.238,-1.951,0.322
0,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,False,LT,-5.954,0.223,-1.856,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,False,ID,-8.561,0.262,-2.294,0.342
2,0.2,10,mean,CS,Gauss-Newton,0.01,False,False,False,LS,-6.868,0.238,-1.951,0.322
0,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,True,LT,-7.786,0.256,-1.622,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,True,ID,-9.392,0.28,-1.954,0.333
2,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,True,LS,-7.336,0.252,-1.674,0.311
0,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,False,LT,-7.786,0.256,-1.622,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,False,ID,-9.392,0.28,-1.954,0.333
2,0.2,10,mean,CS,Gauss-Newton,0.07,True,True,False,LS,-7.336,0.252,-1.674,0.311
0,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,True,LT,-7.786,0.256,-1.622,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,True,ID,-9.392,0.28,-1.954,0.333
2,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,True,LS,-7.336,0.252,-1.674,0.311
0,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,False,LT,-7.786,0.256,-1.622,0.31
1,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,False,ID,-9.392,0.28,-1.954,0.333
2,0.2,10,mean,CS,Gauss-Newton,0.07,True,False,False,LS,-7.336,0.252,-1.674,0.311
0,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,True,LT,-6.155,0.232,-1.632,0.302
1,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,True,ID,-8.33,0.264,-1.97,0.327
2,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,True,LS,-6.449,0.236,-1.693,0.307
0,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,False,LT,-6.155,0.232,-1.632,0.302
1,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,False,ID,-8.33,0.264,-1.97,0.327
2,0.2,10,mean,CS,Gauss-Newton,0.07,False,True,False,LS,-6.449,0.236,-1.693,0.307
0,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,True,LT,-6.155,0.232,-1.632,0.302
1,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,True,ID,-8.33,0.264,-1.97,0.327
2,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,True,LS,-6.449,0.236,-1.693,0.307
0,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,False,LT,-6.155,0.232,-1.632,0.302
1,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,False,ID,-8.33,0.264,-1.97,0.327
2,0.2,10,mean,CS,Gauss-Newton,0.07,False,False,False,LS,-6.449,0.236,-1.693,0.307
0,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,True,LT,-7.637,0.25,-1.568,0.309
1,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,True,ID,-9.426,0.279,-1.877,0.332
2,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,True,LS,-7.34,0.252,-1.644,0.31
0,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,False,LT,-7.637,0.25,-1.568,0.309
1,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,False,ID,-9.426,0.279,-1.877,0.332
2,0.2,10,mean,CS,Gauss-Newton,0.2,True,True,False,LS,-7.34,0.252,-1.644,0.31
0,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,True,LT,-7.637,0.25,-1.568,0.309
1,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,True,ID,-9.426,0.279,-1.877,0.332
2,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,True,LS,-7.34,0.252,-1.644,0.31
0,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,False,LT,-7.637,0.25,-1.568,0.309
1,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,False,ID,-9.426,0.279,-1.877,0.332
2,0.2,10,mean,CS,Gauss-Newton,0.2,True,False,False,LS,-7.34,0.252,-1.644,0.31
0,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,True,LT,-6.261,0.232,-1.558,0.3
1,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,True,ID,-8.419,0.262,-1.873,0.326
2,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,True,LS,-6.342,0.236,-1.602,0.305
0,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,False,LT,-6.261,0.232,-1.558,0.3
1,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,False,ID,-8.419,0.262,-1.873,0.326
2,0.2,10,mean,CS,Gauss-Newton,0.2,False,True,False,LS,-6.342,0.236,-1.602,0.305
0,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,True,LT,-6.261,0.232,-1.558,0.3
1,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,True,ID,-8.419,0.262,-1.873,0.326
2,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,True,LS,-6.342,0.236,-1.602,0.305
0,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,False,LT,-6.261,0.232,-1.558,0.3
1,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,False,ID,-8.419,0.262,-1.873,0.326
2,0.2,10,mean,CS,Gauss-Newton,0.2,False,False,False,LS,-6.342,0.236,-1.602,0.305
0,0.2,10,mean,CS,ROPE,0.01,True,True,True,LT,-2.646,0.166,-0.618,0.244
1,0.2,10,mean,CS,ROPE,0.01,True,True,True,ID,-4.775,0.205,-0.871,0.266
2,0.2,10,mean,CS,ROPE,0.01,True,True,True,LS,-1.968,0.149,-0.558,0.236
0,0.2,10,mean,CS,ROPE,0.01,True,True,False,LT,-4.886,0.216,-1.368,0.281
1,0.2,10,mean,CS,ROPE,0.01,True,True,False,ID,-8.099,0.262,-1.776,0.317
2,0.2,10,mean,CS,ROPE,0.01,True,True,False,LS,-6.014,0.229,-1.593,0.294
0,0.2,10,mean,CS,ROPE,0.01,True,False,True,LT,-3.13,0.172,-0.784,0.251
1,0.2,10,mean,CS,ROPE,0.01,True,False,True,ID,-4.78,0.21,-1.022,0.274
2,0.2,10,mean,CS,ROPE,0.01,True,False,True,LS,-2.404,0.157,-0.705,0.246
0,0.2,10,mean,CS,ROPE,0.01,True,False,False,LT,-4.272,0.202,-1.473,0.291
1,0.2,10,mean,CS,ROPE,0.01,True,False,False,ID,-7.638,0.258,-2.047,0.324
2,0.2,10,mean,CS,ROPE,0.01,True,False,False,LS,-6.211,0.234,-1.848,0.316
0,0.2,10,mean,CS,ROPE,0.01,False,True,True,LT,-2.28,0.154,-0.596,0.241
1,0.2,10,mean,CS,ROPE,0.01,False,True,True,ID,-4.226,0.2,-0.812,0.262
2,0.2,10,mean,CS,ROPE,0.01,False,True,True,LS,-1.528,0.14,-0.535,0.237
0,0.2,10,mean,CS,ROPE,0.01,False,True,False,LT,-4.365,0.204,-1.39,0.287
1,0.2,10,mean,CS,ROPE,0.01,False,True,False,ID,-7.13,0.251,-1.918,0.32
2,0.2,10,mean,CS,ROPE,0.01,False,True,False,LS,-6.216,0.226,-1.788,0.308
0,0.2,10,mean,CS,ROPE,0.01,False,False,True,LT,-2.636,0.17,-0.642,0.246
1,0.2,10,mean,CS,ROPE,0.01,False,False,True,ID,-4.549,0.21,-0.859,0.27
2,0.2,10,mean,CS,ROPE,0.01,False,False,True,LS,-1.941,0.153,-0.589,0.239
0,0.2,10,mean,CS,ROPE,0.01,False,False,False,LT,-4.356,0.2,-1.404,0.28
1,0.2,10,mean,CS,ROPE,0.01,False,False,False,ID,-6.95,0.248,-1.894,0.314
2,0.2,10,mean,CS,ROPE,0.01,False,False,False,LS,-6.024,0.226,-1.746,0.306
0,0.2,10,mean,CS,ROPE,0.07,True,True,True,LT,-3.214,0.178,-0.9,0.262
1,0.2,10,mean,CS,ROPE,0.07,True,True,True,ID,-5.009,0.216,-1.112,0.284
2,0.2,10,mean,CS,ROPE,0.07,True,True,True,LS,-2.21,0.157,-0.809,0.251
0,0.2,10,mean,CS,ROPE,0.07,True,True,False,LT,-4.209,0.198,-1.323,0.276
1,0.2,10,mean,CS,ROPE,0.07,True,True,False,ID,-7.352,0.253,-1.678,0.313
2,0.2,10,mean,CS,ROPE,0.07,True,True,False,LS,-5.531,0.226,-1.716,0.297
0,0.2,10,mean,CS,ROPE,0.07,True,False,True,LT,-3.36,0.182,-0.897,0.264
