    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   42   53        47   48        1.68485            4.08204        4.28037         0.35513E+02    0.35513E+02    0
   22   23        17   28        0.70822            5.14279        5.24094         0.37462E+02    0.37462E+02    0
    4   48        24   28        0.12851            1.74303        1.76742         0.92470E+01    0.92470E+01    0
    8   44        24   28        0.15831            1.97573        1.99573         0.15722E+02    0.15722E+02    0
   20   34        26   28       -0.28258            3.59781        3.56343         0.36318E+02    0.29437E+02    1
   16   38        26   28       -0.57777            2.26871        2.21490         0.24072E+02    0.24071E+02    1
   18   36        26   28       -0.33479            2.52768        2.49896         0.29742E+02    0.29297E+02    1
   12   41        25   28       -0.49317            2.06893        2.01591         0.18997E+02    0.18997E+02    0
   14   39        25   28       -0.51639            2.23311        2.18587         0.27282E+02    0.24154E+02    1
   24   31        27   28       -1.54123            5.53870        5.36041         0.47104E+02    0.47104E+02    0
   22   33        27   28       -2.38584            3.75368        3.45348         0.34831E+02    0.28623E+02    1
   13   27        19   21        0.69191            4.26975        4.34866         0.37785E+02    0.37785E+02    0
    9   31        19   21       -0.32077            2.78698        2.75489         0.27698E+02    0.27698E+02    0
   11   29        19   21       -0.22432            3.29613        3.27284         0.31625E+02    0.31625E+02    0
    5   34        18   21        0.04555            2.41590        2.42086         0.22183E+02    0.22183E+02    0
    7   32        18   21       -0.63497            2.83912        2.77729         0.28839E+02    0.28839E+02    0
   15   26        20   21       -1.21313            4.05533        3.91894         0.35459E+02    0.35459E+02    0
   19   22        20   21        1.27645           11.16150       11.36049         0.83822E+02    0.72233E+02    1
    9   27        17   19       -1.13676            4.13510        3.99644         0.33327E+02    0.33327E+02    0
   11   25        17   19       -1.13466            5.40626        5.23888         0.39904E+02    0.36077E+02    1
    7   29        17   19       -0.73451            3.34254        3.25862         0.28887E+02    0.28887E+02    0
