x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,p_ID
107771.2278,183295.2678,27.85,34534.5,81.46490894,46.50238024,91.71420952,77.9348882,68.35288764,91.91483072,1.459125253,0.26428716,2.87514673,0.120130386,3.689248663,-4.874911756,POINT (553916.9401304979 5645478.775698196),38
107771.5384,183294.8157,27.85,34534.3,80.51782868,45.81266602,90.52083002,76.94811477,68.58235512,91.91483072,1.469119661,0.264292325,2.89518163,0.110120637,3.599248663,-4.874911756,POINT (553917.2589424817 5645478.329589082),39
107771.8367,183294.385,27.8653,34534.1,80.6756522,44.57064835,90.2556536,75.53882322,68.58235512,90.97796096,1.459119661,0.284292325,2.87518163,0.140120637,3.599248663,-4.914911756,POINT (553917.565010944 5645477.904588591),40
107772.1034,183294.0017,27.8653,34533.93,79.72871108,43.60463461,91.18377109,74.27046082,68.81182261,90.17492975,1.449119661,0.304292325,2.85518163,0.170120637,3.839248663,-4.774911756,POINT (553917.8386502244 5645477.526378415),41
107772.4159,183293.5555,27.8875,34533.73,77.51833562,41.94962409,91.84637975,73.14193782,69.04129009,90.04925728,1.44909961,0.314302139,2.87518163,0.140090692,3.949248663,-4.804217354,POINT (553918.1592232507 5645477.086175514),42
107772.7638,183293.0615,27.9137,34533.52,75.78024307,40.43607609,91.97804306,71.86925215,69.84643039,90.58767159,1.459017101,0.294333207,2.875625107,0.129937968,3.929530605,-4.944000235,POINT (553918.5161174125 5645476.598936285),43
107773.0889,183292.6011,27.9391,34533.32,74.67547842,39.47006235,91.97804306,71.02367722,70.47746596,91.39070281,1.469017101,0.274333207,2.855625107,0.119937968,3.869530605,-5.59388897,POINT (553918.8495021368 5645476.144771729),44
107773.375,183292.1955,27.9597371,34533.12,74.35983138,38.78005253,91.58027842,70.17810229,70.47746596,91.39070281,1.469017101,0.254333207,2.805625107,0.109937968,3.869530605,-5.59388897,POINT (553919.1430151119 5645475.744682825),45
107773.375,183292.1955,27.9597371,34533.12,74.35983138,38.78005253,91.58027842,70.17810229,70.47746596,91.39070281,1.469017101,0.254333207,2.805625107,0.109937968,3.869530605,-5.59388897,POINT (553919.1430151119 5645475.744682825),46
107773.9927,183291.3215,28.0112451,34532.71,74.67547842,39.19405842,87.73522023,69.75531482,70.93640093,86.5725155,1.469017101,0.264333207,2.875625107,0.129937968,4.109530605,-4.20388897,POINT (553919.7765105853 5645474.88246627),47
107774.2753,183290.9225,28.0337591,34532.52,74.20200786,40.57407805,87.73522023,69.75531482,71.28060215,85.63564575,1.479017101,0.274333207,2.875625107,0.129937968,4.119530605,-3.93388897,POINT (553920.0663396285 5645474.488929693),48
107774.4848,183290.6272,28.0477131,34532.38,73.25506673,40.71208001,86.14416167,67.50044833,71.28060215,86.5725155,1.479017101,0.274333207,2.915625107,0.139937968,4.119530605,-4.33388897,POINT (553920.2811945045 5645474.197608473),49
107774.6827,183290.3486,28.0477131,34532.25,75.93806659,39.60806431,86.93969095,67.50044833,71.28060215,86.5725155,1.479017101,0.284333207,2.915625107,0.139937968,4.119530605,-4.33388897,POINT (553920.4841498589 5645473.92285982),50
