ID,easting,northing,z,Resistivity(ohm.m)
8,41666.434,204316.782,-0.9,18.4023725
8,41666.434,204316.782,-0.8,20.483245
8,41666.434,204316.782,-0.7,22.50570333
8,41666.434,204316.782,-0.6,22.8943375
8,41666.434,204316.782,-0.5,24.03258
8,41666.434,204316.782,-0.4,24.07078
8,41666.434,204316.782,-0.3,25.82089
8,41666.434,204316.782,-0.1,29.64113222
9,41666.625,204316.32,-4.9,2.01097
9,41666.625,204316.32,-4.7,2.134805
9,41666.625,204316.32,-4.5,2.222856667
9,41666.625,204316.32,-4.4,2.37757
9,41666.625,204316.32,-4.3,2.2404
9,41666.625,204316.32,-4.2,2.56279
9,41666.625,204316.32,-4.1,2.44826
9,41666.625,204316.32,-4,2.676285
9,41666.625,204316.32,-3.9,2.61487
9,41666.625,204316.32,-3.8,2.867315
9,41666.625,204316.32,-3.7,2.81627
9,41666.625,204316.32,-3.6,3.077915
9,41666.625,204316.32,-3.5,3.028365
9,41666.625,204316.32,-3.4,3.31474
9,41666.625,204316.32,-3.3,3.61622
9,41666.625,204316.32,-3.2,3.580896667
9,41666.625,204316.32,-3,3.913273333
9,41666.625,204316.32,-2.9,4.306545
9,41666.625,204316.32,-2.8,4.2987
9,41666.625,204316.32,-2.7,4.739925
9,41666.625,204316.32,-2.6,4.995205
9,41666.625,204316.32,-2.5,5.251806667
9,41666.625,204316.32,-2.4,5.83774
9,41666.625,204316.32,-2.3,5.84918
9,41666.625,204316.32,-2.2,6.517536667
9,41666.625,204316.32,-2,7.31286
9,41666.625,204316.32,-1.9,8.33686
9,41666.625,204316.32,-1.8,8.19602
9,41666.625,204316.32,-1.7,9.37792
9,41666.625,204316.32,-1.6,9.928143333
9,41666.625,204316.32,-1.5,10.50783667
9,41666.625,204316.32,-1.4,11.79542
9,41666.625,204316.32,-1.3,11.79714
9,41666.625,204316.32,-1.2,13.245015
9,41666.625,204316.32,-1.1,14.70173
9,41666.625,204316.32,-1,15.544715
9,41666.625,204316.32,-0.9,17.69573
9,41666.625,204316.32,-0.8,18.8578425
9,41666.625,204316.32,-0.7,19.8827
9,41666.625,204316.32,-0.6,21.2454675
9,41666.625,204316.32,-0.5,21.412085
9,41666.625,204316.32,-0.4,23.52477333
9,41666.625,204316.32,-0.3,22.936668
9,41666.625,204316.32,-0.1,24.60966429
10,41666.817,204315.858,-4.9,1.87954
10,41666.817,204315.858,-4.8,1.866455
10,41666.817,204315.858,-4.7,2.0566
10,41666.817,204315.858,-4.6,1.969335
10,41666.817,204315.858,-4.5,2.113983333
10,41666.817,204315.858,-4.3,2.20854
10,41666.817,204315.858,-4.1,2.392303333
10,41666.817,204315.858,-4,2.49351
10,41666.817,204315.858,-3.9,2.6227
10,41666.817,204315.858,-3.8,2.56045
10,41666.817,204315.858,-3.7,2.81068
10,41666.817,204315.858,-3.6,2.78662
10,41666.817,204315.858,-3.5,3.028365
10,41666.817,204315.858,-3.4,3.07288
10,41666.817,204315.858,-3.3,3.261935
10,41666.817,204315.858,-3.2,3.573325
10,41666.817,204315.858,-3.1,3.528245
10,41666.817,204315.858,-3,3.90997
10,41666.817,204315.858,-2.9,3.89539
10,41666.817,204315.858,-2.8,4.29575
10,41666.817,204315.858,-2.7,4.507375
10,41666.817,204315.858,-2.6,4.742203333
10,41666.817,204315.858,-2.5,5.256735
10,41666.817,204315.858,-2.4,5.26307
10,41666.817,204315.858,-2.3,5.84734
10,41666.817,204315.858,-2.2,6.295583333
10,41666.817,204315.858,-2.1,6.506745
10,41666.817,204315.858,-2,7.25248
10,41666.817,204315.858,-1.9,7.23621
10,41666.817,204315.858,-1.8,8.1169975
10,41666.817,204315.858,-1.7,9.02937
10,41666.817,204315.858,-1.6,8.925045
10,41666.817,204315.858,-1.5,10.0278725
10,41666.817,204315.858,-1.4,11.16678
10,41666.817,204315.858,-1.3,11.34137
10,41666.817,204315.858,-1.2,12.33095
10,41666.817,204315.858,-1.1,13.85308
10,41666.817,204315.858,-1,14.5720025
10,41666.817,204315.858,-0.9,15.613195
10,41666.817,204315.858,-0.8,17.23244
10,41666.817,204315.858,-0.7,18.3558625
10,41666.817,204315.858,-0.6,20.26353
10,41666.817,204315.858,-0.5,22.7307225
10,41666.817,204315.858,-0.4,25.371835
10,41666.817,204315.858,-0.3,24.546302
10,41666.817,204315.858,-0.1,23.98429625
11,41667.009,204315.397,-4.9,1.76876
11,41667.009,204315.397,-4.8,1.81662
11,41667.009,204315.397,-4.6,1.921803333
11,41667.009,204315.397,-4.5,1.97395
11,41667.009,204315.397,-4.4,1.8632
11,41667.009,204315.397,-4.3,2.10151
11,41667.009,204315.397,-4.2,1.98506
11,41667.009,204315.397,-4.1,2.18764
11,41667.009,204315.397,-4,2.49351
11,41667.009,204315.397,-3.9,2.40363
11,41667.009,204315.397,-3.8,2.56045
11,41667.009,204315.397,-3.7,2.605105
11,41667.009,204315.397,-3.6,2.705103333
11,41667.009,204315.397,-3.4,2.924816667
11,41667.009,204315.397,-3.3,3.261935
11,41667.009,204315.397,-3.2,3.167075
11,41667.009,204315.397,-3.1,3.528245
11,41667.009,204315.397,-3,3.43814
11,41667.009,204315.397,-2.9,3.858386667
11,41667.009,204315.397,-2.8,4.28985
11,41667.009,204315.397,-2.7,4.223583333
11,41667.009,204315.397,-2.6,4.738965
11,41667.009,204315.397,-2.5,4.70936
11,41667.009,204315.397,-2.4,5.252033333
11,41667.009,204315.397,-2.3,5.518135
11,41667.009,204315.397,-2.2,5.818103333
11,41667.009,204315.397,-2.1,6.506745
11,41667.009,204315.397,-2,6.72918
11,41667.009,204315.397,-1.9,7.226695
11,41667.009,204315.397,-1.8,7.74836
11,41667.009,204315.397,-1.7,7.985745
11,41667.009,204315.397,-1.6,8.87983
11,41667.009,204315.397,-1.5,9.5312
11,41667.009,204315.397,-1.4,9.72881
11,41667.009,204315.397,-1.3,10.8856
11,41667.009,204315.397,-1.2,11.4094425
11,41667.009,204315.397,-1.1,11.834675
11,41667.009,204315.397,-1,13.34826333
11,41667.009,204315.397,-0.9,14.59434333
11,41667.009,204315.397,-0.8,14.88648
11,41667.009,204315.397,-0.7,17.0113675
11,41667.009,204315.397,-0.6,20.941205
11,41667.009,204315.397,-0.5,21.9419375
11,41667.009,204315.397,-0.4,22.86757333
11,41667.009,204315.397,-0.3,26.334172
11,41667.009,204315.397,-0.2,24.1712
11,41667.009,204315.397,-0.1,21.58319625
12,41667.201,204314.935,-4.9,1.628313333
12,41667.201,204314.935,-4.8,1.662645
12,41667.201,204314.935,-4.6,1.7494
12,41667.201,204314.935,-4.5,1.91636
12,41667.201,204314.935,-4.4,1.829335
12,41667.201,204314.935,-4.3,2.02634
12,41667.201,204314.935,-4.2,1.88909
12,41667.201,204314.935,-4.1,2.102406667
12,41667.201,204314.935,-3.9,2.241466667
12,41667.201,204314.935,-3.8,2.087
12,41667.201,204314.935,-3.7,2.37677
12,41667.201,204314.935,-3.6,2.664345
12,41667.201,204314.935,-3.5,2.496665
12,41667.201,204314.935,-3.4,2.84595
12,41667.201,204314.935,-3.3,2.7339
12,41667.201,204314.935,-3.2,3.124816667
12,41667.201,204314.935,-3.1,2.98082
12,41667.201,204314.935,-3,3.41321
12,41667.201,204314.935,-2.9,3.647293333
12,41667.201,204314.935,-2.8,3.69466
12,41667.201,204314.935,-2.7,4.1981
12,41667.201,204314.935,-2.6,4.03827
12,41667.201,204314.935,-2.5,4.629613333
12,41667.201,204314.935,-2.4,5.22996
12,41667.201,204314.935,-2.3,5.058743333
12,41667.201,204314.935,-2.2,5.801755
12,41667.201,204314.935,-2.1,5.69794
12,41667.201,204314.935,-2,6.42432
12,41667.201,204314.935,-1.9,6.71236
12,41667.201,204314.935,-1.8,7.13953
12,41667.201,204314.935,-1.7,7.61464
12,41667.201,204314.935,-1.6,8.186343333
12,41667.201,204314.935,-1.5,8.757305
12,41667.201,204314.935,-1.4,9.419203333
12,41667.201,204314.935,-1.3,9.57842
12,41667.201,204314.935,-1.2,10.51154
12,41667.201,204314.935,-1.1,11.4195625
12,41667.201,204314.935,-1,12.059025
12,41667.201,204314.935,-0.9,12.20389
12,41667.201,204314.935,-0.8,14.059886
12,41667.201,204314.935,-0.7,15.76637
12,41667.201,204314.935,-0.6,15.27127
12,41667.201,204314.935,-0.5,18.2885425
12,41667.201,204314.935,-0.4,21.29517
12,41667.201,204314.935,-0.3,24.449155
12,41667.201,204314.935,-0.2,24.1712
12,41667.201,204314.935,-0.1,29.2173
13,41667.392,204314.473,-4.9,1.529203333
13,41667.392,204314.473,-4.8,1.549876667
13,41667.392,204314.473,-4.6,1.606173333
13,41667.392,204314.473,-4.4,1.69861
13,41667.392,204314.473,-4.2,1.788913333
13,41667.392,204314.473,-4.1,2.02469
13,41667.392,204314.473,-4,1.87854
13,41667.392,204314.473,-3.9,2.14404
13,41667.392,204314.473,-3.8,2.036925
13,41667.392,204314.473,-3.7,2.34842
13,41667.392,204314.473,-3.6,2.210345
13,41667.392,204314.473,-3.5,2.496665
13,41667.392,204314.473,-3.4,2.336585
13,41667.392,204314.473,-3.3,2.694886667
13,41667.392,204314.473,-3.2,3.0403
13,41667.392,204314.473,-3.1,2.91358
13,41667.392,204314.473,-3,3.08251
13,41667.392,204314.473,-2.9,3.22581
13,41667.392,204314.473,-2.8,3.46875
