"Z,Resistivity(ohm.m),easting,northing,nb_electrode"
"-3.1,23.04949,107763.916,183306.477,11.0"
"-3.0,20.02754,107763.916,183306.477,11.0"
"-2.9,19.799885,107763.916,183306.477,11.0"
"-2.8,17.990389999999998,107763.916,183306.477,11.0"
"-2.7,16.79921,107763.916,183306.477,11.0"
"-2.6,14.169785000000001,107763.916,183306.477,11.0"
"-2.5,13.501850000000001,107763.916,183306.477,11.0"
"-2.4,11.5354,107763.916,183306.477,11.0"
"-2.3,10.203865,107763.916,183306.477,11.0"
"-2.2,9.401923333333334,107763.916,183306.477,11.0"
"-2.1,8.00813,107763.916,183306.477,11.0"
"-2.0,7.900065,107763.916,183306.477,11.0"
"-1.9,7.051206666666666,107763.916,183306.477,11.0"
"-1.7,6.59979,107763.916,183306.477,11.0"
"-1.6,6.58689,107763.916,183306.477,11.0"
"-1.5,7.265985,107763.916,183306.477,11.0"
"-1.4,7.488506666666666,107763.916,183306.477,11.0"
"-1.3,8.41475,107763.916,183306.477,11.0"
"-1.2,10.56022,107763.916,183306.477,11.0"
"-1.1,12.155973333333334,107763.916,183306.477,11.0"
"-1.0,14.730889999999999,107763.916,183306.477,11.0"
"-0.9,19.74643,107763.916,183306.477,11.0"
"-0.8,23.752476666666666,107763.916,183306.477,11.0"
"-0.7,26.72244333333333,107763.916,183306.477,11.0"
"-0.6,32.34588333333333,107763.916,183306.477,11.0"
"-0.5,37.1049175,107763.916,183306.477,11.0"
"-0.4,42.203285,107763.916,183306.477,11.0"
"-0.3,52.76201666666666,107763.916,183306.477,11.0"
"-0.1,83.38953000000001,107763.916,183306.477,11.0"
"-4.9,40.62169,107764.197,183306.064,12.0"
"-4.8,40.021785,107764.197,183306.064,12.0"
"-4.6,40.42193,107764.197,183306.064,12.0"
"-4.5,38.77378,107764.197,183306.064,12.0"
"-4.4,38.879239999999996,107764.197,183306.064,12.0"
"-4.2,37.444500000000005,107764.197,183306.064,12.0"
"-4.1,36.750275,107764.197,183306.064,12.0"
"-4.0,36.02384,107764.197,183306.064,12.0"
"-3.9,33.97511,107764.197,183306.064,12.0"
"-3.8,33.92049,107764.197,183306.064,12.0"
"-3.7,32.525985,107764.197,183306.064,12.0"
"-3.6,31.554705,107764.197,183306.064,12.0"
"-3.5,29.71083,107764.197,183306.064,12.0"
"-3.4,28.68038,107764.197,183306.064,12.0"
"-3.3,27.58364,107764.197,183306.064,12.0"
"-3.2,25.679925,107764.197,183306.064,12.0"
"-3.1,23.448875,107764.197,183306.064,12.0"
"-3.0,21.5186,107764.197,183306.064,12.0"
"-2.9,19.54199,107764.197,183306.064,12.0"
"-2.8,18.30654,107764.197,183306.064,12.0"
"-2.7,16.192035,107764.197,183306.064,12.0"
"-2.6,15.04838,107764.197,183306.064,12.0"
"-2.5,13.501850000000001,107764.197,183306.064,12.0"
"-2.4,11.699243333333333,107764.197,183306.064,12.0"
"-2.3,10.53281,107764.197,183306.064,12.0"
"-2.2,9.304835,107764.197,183306.064,12.0"
"-2.1,8.140665,107764.197,183306.064,12.0"
"-2.0,7.900065,107764.197,183306.064,12.0"
"-1.9,7.085405,107764.197,183306.064,12.0"
"-1.8,6.51812,107764.197,183306.064,12.0"
"-1.7,6.568026666666667,107764.197,183306.064,12.0"
"-1.6,6.5247875,107764.197,183306.064,12.0"
"-1.5,7.265985,107764.197,183306.064,12.0"
"-1.4,7.180366666666667,107764.197,183306.064,12.0"
"-1.3,8.54363,107764.197,183306.064,12.0"
"-1.2,9.643473333333333,107764.197,183306.064,12.0"
"-1.1,11.404976666666665,107764.197,183306.064,12.0"
"-1.0,15.087485000000001,107764.197,183306.064,12.0"
"-0.9,17.837223333333334,107764.197,183306.064,12.0"
"-0.8,19.955945,107764.197,183306.064,12.0"
"-0.7,25.92601666666667,107764.197,183306.064,12.0"
"-0.6,30.431856666666665,107764.197,183306.064,12.0"
"-0.5,33.04762,107764.197,183306.064,12.0"
"-0.4,38.74483,107764.197,183306.064,12.0"
"-0.3,51.227358,107764.197,183306.064,12.0"
"-0.1,86.25649333333334,107764.197,183306.064,12.0"
"-4.9,41.31348,107764.478,183305.65,13.0"
"-4.8,41.01096,107764.478,183305.65,13.0"
"-4.6,40.42193,107764.478,183305.65,13.0"
"-4.5,40.66552,107764.478,183305.65,13.0"
"-4.4,39.20187,107764.478,183305.65,13.0"
"-4.3,39.502935,107764.478,183305.65,13.0"
"-4.2,37.99235,107764.478,183305.65,13.0"
"-4.1,37.91524,107764.478,183305.65,13.0"
"-4.0,36.14102,107764.478,183305.65,13.0"
"-3.9,35.03218,107764.478,183305.65,13.0"
"-3.8,33.90395,107764.478,183305.65,13.0"
"-3.7,33.30794,107764.478,183305.65,13.0"
"-3.6,31.11985,107764.478,183305.65,13.0"
"-3.5,30.19778,107764.478,183305.65,13.0"
"-3.4,28.738059999999997,107764.478,183305.65,13.0"
"-3.3,27.58364,107764.478,183305.65,13.0"
"-3.2,25.29142,107764.478,183305.65,13.0"
"-3.1,23.497035,107764.478,183305.65,13.0"
"-3.0,21.381936666666665,107764.478,183305.65,13.0"
"-2.9,18.915435000000002,107764.478,183305.65,13.0"
"-2.8,17.59495,107764.478,183305.65,13.0"
"-2.7,15.868070000000001,107764.478,183305.65,13.0"
