Z,Resistivity(ohm.m),easting,northing,nb_electrode
-3.1,5.984994,41665.858,204318.167,5.0
-3.0,6.074675714285715,41665.858,204318.167,5.0
-2.9,6.30382,41665.858,204318.167,5.0
-2.8,6.637265,41665.858,204318.167,5.0
-2.7,6.8054675,41665.858,204318.167,5.0
-2.6,7.07576625,41665.858,204318.167,5.0
-2.5,7.474044444444445,41665.858,204318.167,5.0
-2.4,7.723387272727272,41665.858,204318.167,5.0
-2.3,7.986114285714286,41665.858,204318.167,5.0
-2.2,8.426615833333333,41665.858,204318.167,5.0
-2.1,8.798525555555555,41665.858,204318.167,5.0
-2.0,9.255504444444444,41665.858,204318.167,5.0
-1.9,9.727033636363636,41665.858,204318.167,5.0
-1.8,10.045347777777778,41665.858,204318.167,5.0
-1.7,10.586434545454544,41665.858,204318.167,5.0
-1.6,11.414126153846153,41665.858,204318.167,5.0
-1.5,12.070936666666666,41665.858,204318.167,5.0
-1.4,12.260485,41665.858,204318.167,5.0
-1.3,13.177501666666666,41665.858,204318.167,5.0
-1.2,13.548946363636363,41665.858,204318.167,5.0
-1.1,14.45504,41665.858,204318.167,5.0
-1.0,15.292000625,41665.858,204318.167,5.0
-0.9,16.24709875,41665.858,204318.167,5.0
-0.8,17.53190214285714,41665.858,204318.167,5.0
-0.7,18.594247692307693,41665.858,204318.167,5.0
-0.6,19.969149047619048,41665.858,204318.167,5.0
-0.5,21.220680555555557,41665.858,204318.167,5.0
-0.4,22.831605,41665.858,204318.167,5.0
-0.3,24.3068305,41665.858,204318.167,5.0
-0.2,25.593530476190477,41665.858,204318.167,5.0
-0.1,27.315288260869565,41665.858,204318.167,5.0
-0.0,22.80274466666667,41665.858,204318.167,5.0
-4.9,3.3514825,41666.05,204317.705,6.0
-4.8,3.60988,41666.05,204317.705,6.0
-4.7,3.467014285714286,41666.05,204317.705,6.0
-4.6,3.70299,41666.05,204317.705,6.0
-4.5,3.659794285714286,41666.05,204317.705,6.0
-4.4,3.787358,41666.05,204317.705,6.0
-4.3,3.801556,41666.05,204317.705,6.0
-4.2,3.9730271428571426,41666.05,204317.705,6.0
-4.1,4.01404,41666.05,204317.705,6.0
-4.0,4.194213333333333,41666.05,204317.705,6.0
-3.9,4.1988775,41666.05,204317.705,6.0
-3.8,4.43509,41666.05,204317.705,6.0
-3.7,4.492362,41666.05,204317.705,6.0
-3.6,4.662992857142858,41666.05,204317.705,6.0
-3.5,4.779394285714285,41666.05,204317.705,6.0
-3.4,4.921291999999999,41666.05,204317.705,6.0
-3.3,5.114978333333333,41666.05,204317.705,6.0
-3.2,5.208848333333333,41666.05,204317.705,6.0
-3.1,5.53226,41666.05,204317.705,6.0
-3.0,5.65449,41666.05,204317.705,6.0
-2.9,5.974537777777778,41666.05,204317.705,6.0
-2.8,6.110320000000001,41666.05,204317.705,6.0
-2.7,6.3121775,41666.05,204317.705,6.0
-2.6,6.668769999999999,41666.05,204317.705,6.0
-2.5,6.952691428571429,41666.05,204317.705,6.0
-2.4,7.102030909090908,41666.05,204317.705,6.0
-2.3,7.481447142857143,41666.05,204317.705,6.0
-2.2,7.844037272727274,41666.05,204317.705,6.0
-2.1,8.213863,41666.05,204317.705,6.0
-2.0,8.566125555555555,41666.05,204317.705,6.0
-1.9,8.92882909090909,41666.05,204317.705,6.0
-1.8,9.501666666666667,41666.05,204317.705,6.0
-1.7,9.917197692307694,41666.05,204317.705,6.0
-1.6,10.530658333333333,41666.05,204317.705,6.0
-1.5,10.974451111111112,41666.05,204317.705,6.0
-1.4,11.611176923076924,41666.05,204317.705,6.0
-1.3,12.19652,41666.05,204317.705,6.0
-1.2,13.133782666666667,41666.05,204317.705,6.0
-1.1,13.921897857142856,41666.05,204317.705,6.0
-1.0,14.713472142857142,41666.05,204317.705,6.0
-0.9,15.638175333333333,41666.05,204317.705,6.0
-0.8,16.825547142857143,41666.05,204317.705,6.0
-0.7,17.441893333333333,41666.05,204317.705,6.0
-0.6,18.7243855,41666.05,204317.705,6.0
-0.5,19.83232705882353,41666.05,204317.705,6.0
-0.4,21.19747588235294,41666.05,204317.705,6.0
-0.3,23.112293157894737,41666.05,204317.705,6.0
-0.2,25.725923,41666.05,204317.705,6.0
-0.1,29.0561316,41666.05,204317.705,6.0
-0.0,32.515075,41666.05,204317.705,6.0
-4.9,3.13228875,41666.242,204317.244,7.0
-4.7,3.285386666666667,41666.242,204317.244,7.0
-4.6,3.29578,41666.242,204317.244,7.0
-4.5,3.4507128571428574,41666.242,204317.244,7.0
-4.4,3.505758333333333,41666.242,204317.244,7.0
-4.3,3.6087719999999996,41666.242,204317.244,7.0
-4.2,3.6460516666666667,41666.242,204317.244,7.0
-4.1,3.7594160000000003,41666.242,204317.244,7.0
-4.0,3.8912660000000003,41666.242,204317.244,7.0
-3.9,3.9235566666666664,41666.242,204317.244,7.0
-3.8,4.074173333333333,41666.242,204317.244,7.0
-3.7,4.173616666666667,41666.242,204317.244,7.0
-3.6,4.276596666666666,41666.242,204317.244,7.0
-3.5,4.508975,41666.242,204317.244,7.0
-3.4,4.45336,41666.242,204317.244,7.0
-3.3,4.801854285714286,41666.242,204317.244,7.0
-3.2,4.874296666666667,41666.242,204317.244,7.0
-3.1,5.08633,41666.242,204317.244,7.0
-3.0,5.285915,41666.242,204317.244,7.0
-2.9,5.420958571428572,41666.242,204317.244,7.0
-2.8,5.692437142857143,41666.242,204317.244,7.0
