Z,Resistivity(ohm.m),easting,northing,ID
-1.5,10.27672,107762.792,183308.131,7.0
-1.4,11.06795,107762.792,183308.131,7.0
-1.3,11.924845000000001,107762.792,183308.131,7.0
-1.2,13.375726666666665,107762.792,183308.131,7.0
-1.1,15.26281,107762.792,183308.131,7.0
-1.0,18.573243333333334,107762.792,183308.131,7.0
-0.9,23.129996666666667,107762.792,183308.131,7.0
-0.8,27.729673333333334,107762.792,183308.131,7.0
-0.7,33.84605333333334,107762.792,183308.131,7.0
-0.6,39.48029666666667,107762.792,183308.131,7.0
-0.5,46.769193333333334,107762.792,183308.131,7.0
-0.4,52.17290333333333,107762.792,183308.131,7.0
-0.3,57.76091333333333,107762.792,183308.131,7.0
-0.2,61.17568,107762.792,183308.131,7.0
-0.1,64.098215,107762.792,183308.131,7.0
-0.0,66.33827,107762.792,183308.131,7.0
-4.3,24.29559,107763.073,183307.718,8.0
-4.2,23.78314,107763.073,183307.718,8.0
-4.1,22.97249,107763.073,183307.718,8.0
-4.0,22.25092,107763.073,183307.718,8.0
-3.9,22.11856,107763.073,183307.718,8.0
-3.8,21.09665,107763.073,183307.718,8.0
-3.6,19.837375,107763.073,183307.718,8.0
-3.5,18.77439,107763.073,183307.718,8.0
-3.4,18.11166,107763.073,183307.718,8.0
-3.3,17.06131,107763.073,183307.718,8.0
-3.2,16.45507,107763.073,183307.718,8.0
-3.1,15.434463333333333,107763.073,183307.718,8.0
-3.0,14.483835,107763.073,183307.718,8.0
-2.9,14.0691,107763.073,183307.718,8.0
-2.8,13.00701,107763.073,183307.718,8.0
-2.6,11.920575,107763.073,183307.718,8.0
-2.5,11.08412,107763.073,183307.718,8.0
-2.4,10.69664,107763.073,183307.718,8.0
-2.3,10.01989,107763.073,183307.718,8.0
-2.2,9.303740000000001,107763.073,183307.718,8.0
-2.1,8.77636,107763.073,183307.718,8.0
-2.0,8.74126,107763.073,183307.718,8.0
-1.9,8.32741,107763.073,183307.718,8.0
-1.8,8.30552,107763.073,183307.718,8.0
-1.7,8.239866666666666,107763.073,183307.718,8.0
-1.6,8.384696666666667,107763.073,183307.718,8.0
-1.5,8.75287,107763.073,183307.718,8.0
-1.4,9.2510575,107763.073,183307.718,8.0
-1.3,9.8803,107763.073,183307.718,8.0
-1.2,11.12438,107763.073,183307.718,8.0
-1.1,12.844856666666667,107763.073,183307.718,8.0
-1.0,15.863016666666667,107763.073,183307.718,8.0
-0.9,19.127366666666667,107763.073,183307.718,8.0
-0.8,24.42503,107763.073,183307.718,8.0
-0.7,30.418817500000003,107763.073,183307.718,8.0
-0.6,37.726034999999996,107763.073,183307.718,8.0
-0.5,46.167765,107763.073,183307.718,8.0
-0.4,51.284670000000006,107763.073,183307.718,8.0
-0.3,57.7853125,107763.073,183307.718,8.0
-0.2,61.45134,107763.073,183307.718,8.0
-0.1,63.34766,107763.073,183307.718,8.0
-0.0,65.00448,107763.073,183307.718,8.0
-4.3,25.23794,107763.354,183307.304,9.0
-4.2,25.16057,107763.354,183307.304,9.0
-4.1,24.34958,107763.354,183307.304,9.0
-4.0,23.48154,107763.354,183307.304,9.0
-3.8,22.284484999999997,107763.354,183307.304,9.0
-3.6,20.765365,107763.354,183307.304,9.0
-3.5,19.38697,107763.354,183307.304,9.0
-3.4,18.97406,107763.354,183307.304,9.0
-3.2,16.917095,107763.354,183307.304,9.0
-3.1,15.860335,107763.354,183307.304,9.0
-3.0,14.69288,107763.354,183307.304,9.0
-2.9,14.32966,107763.354,183307.304,9.0
-2.8,13.15464,107763.354,183307.304,9.0
-2.6,11.824955,107763.354,183307.304,9.0
-2.5,10.77436,107763.354,183307.304,9.0
-2.4,10.229235,107763.354,183307.304,9.0
-2.3,9.600435000000001,107763.354,183307.304,9.0
-2.2,9.00251,107763.354,183307.304,9.0
-2.1,8.7494,107763.354,183307.304,9.0
-2.0,8.270299999999999,107763.354,183307.304,9.0
-1.9,7.832155,107763.354,183307.304,9.0
-1.8,7.64915,107763.354,183307.304,9.0
-1.7,7.511943333333334,107763.354,183307.304,9.0
-1.6,7.547,107763.354,183307.304,9.0
-1.5,7.76994,107763.354,183307.304,9.0
-1.4,8.13345,107763.354,183307.304,9.0
-1.3,8.651240000000001,107763.354,183307.304,9.0
-1.2,9.523766666666667,107763.354,183307.304,9.0
-1.1,11.373056666666665,107763.354,183307.304,9.0
-1.0,13.605385,107763.354,183307.304,9.0
-0.9,16.644863333333333,107763.354,183307.304,9.0
-0.8,21.616366666666664,107763.354,183307.304,9.0
-0.7,26.773876666666666,107763.354,183307.304,9.0
-0.6,34.69146333333333,107763.354,183307.304,9.0
-0.5,42.2860875,107763.354,183307.304,9.0
-0.4,49.991302499999996,107763.354,183307.304,9.0
-0.3,56.215824999999995,107763.354,183307.304,9.0
-0.2,60.0669225,107763.354,183307.304,9.0
-0.1,62.93333833333333,107763.354,183307.304,9.0
-0.0,61.30593,107763.354,183307.304,9.0
-4.3,26.42964,107763.635,183306.891,10.0
-4.2,26.37371,107763.635,183306.891,10.0
-4.1,25.57988,107763.635,183306.891,10.0
-4.0,24.82873,107763.635,183306.891,10.0
-3.8,22.958714999999998,107763.635,183306.891,10.0
-3.6,21.692235,107763.635,183306.891,10.0
-3.5,20.48081,107763.635,183306.891,10.0
-3.4,19.75807,107763.635,183306.891,10.0
-3.3,18.67931,107763.635,183306.891,10.0
-3.2,17.95392,107763.635,183306.891,10.0
-3.1,16.710195,107763.635,183306.891,10.0
-3.0,15.47888,107763.635,183306.891,10.0
-2.9,14.82925,107763.635,183306.891,10.0
-2.8,13.84249,107763.635,183306.891,10.0
-2.7,13.47487,107763.635,183306.891,10.0
-2.6,12.271055,107763.635,183306.891,10.0
-2.5,11.16875,107763.635,183306.891,10.0
-2.4,10.85366,107763.635,183306.891,10.0
-2.3,9.918610000000001,107763.635,183306.891,10.0
-2.2,9.1074,107763.635,183306.891,10.0
-2.1,8.87182,107763.635,183306.891,10.0
-2.0,8.240185,107763.635,183306.891,10.0
-1.9,7.670915000000001,107763.635,183306.891,10.0
-1.8,7.35259,107763.635,183306.891,10.0
-1.7,7.29971,107763.635,183306.891,10.0
-1.6,7.25669,107763.635,183306.891,10.0
-1.5,7.43075,107763.635,183306.891,10.0
-1.4,7.571695,107763.635,183306.891,10.0
-1.3,8.225393333333333,107763.635,183306.891,10.0
-1.2,9.156183333333333,107763.635,183306.891,10.0
-1.1,10.940010000000001,107763.635,183306.891,10.0
-1.0,13.035120000000001,107763.635,183306.891,10.0
-0.9,16.632813333333335,107763.635,183306.891,10.0
-0.8,22.53681,107763.635,183306.891,10.0
-0.7,27.898853333333335,107763.635,183306.891,10.0
-0.6,36.59198,107763.635,183306.891,10.0
-0.5,45.8253525,107763.635,183306.891,10.0
-0.4,53.44447,107763.635,183306.891,10.0
-0.3,58.9971525,107763.635,183306.891,10.0
-0.2,61.8496975,107763.635,183306.891,10.0
-0.1,61.7873975,107763.635,183306.891,10.0
-0.0,60.268164,107763.635,183306.891,10.0
-4.2,27.65328,107763.916,183306.477,11.0
-4.1,26.86435,107763.916,183306.477,11.0
-3.9,25.15678,107763.916,183306.477,11.0
-3.8,24.25352,107763.916,183306.477,11.0
-3.7,23.55575,107763.916,183306.477,11.0
-3.6,22.433390000000003,107763.916,183306.477,11.0
-3.5,21.20257,107763.916,183306.477,11.0
-3.4,20.48024,107763.916,183306.477,11.0
-3.3,19.68096,107763.916,183306.477,11.0
-3.2,18.9599,107763.916,183306.477,11.0
-3.1,17.6004,107763.916,183306.477,11.0
-3.0,16.24484,107763.916,183306.477,11.0
-2.9,15.5753,107763.916,183306.477,11.0
-2.8,14.49426,107763.916,183306.477,11.0
-2.7,14.05124,107763.916,183306.477,11.0
-2.6,12.741055,107763.916,183306.477,11.0
-2.5,11.55762,107763.916,183306.477,11.0
-2.4,11.14367,107763.916,183306.477,11.0
-2.3,10.203885,107763.916,183306.477,11.0
-2.2,9.41597,107763.916,183306.477,11.0
-2.1,8.885925,107763.916,183306.477,11.0
-2.0,8.40996,107763.916,183306.477,11.0
-1.9,7.969403333333333,107763.916,183306.477,11.0
-1.8,7.520605,107763.916,183306.477,11.0
-1.7,7.29807,107763.916,183306.477,11.0
-1.6,7.278275000000001,107763.916,183306.477,11.0
-1.5,7.44764,107763.916,183306.477,11.0
-1.4,7.59391,107763.916,183306.477,11.0
-1.3,8.155703333333333,107763.916,183306.477,11.0
-1.2,9.078216666666666,107763.916,183306.477,11.0
