Z,Resistivity(ohm.m),easting,northing,ID
-1.5,7.356210000000001,107763.916,183306.477,11.0
-1.4,7.799250000000001,107763.916,183306.477,11.0
-1.3,8.30364,107763.916,183306.477,11.0
-1.2,9.321,107763.916,183306.477,11.0
-1.1,10.7943,107763.916,183306.477,11.0
-1.0,12.8454125,107763.916,183306.477,11.0
-0.9,15.858130000000001,107763.916,183306.477,11.0
-0.8,19.838742500000002,107763.916,183306.477,11.0
-0.7,24.604485,107763.916,183306.477,11.0
-0.6,31.05331333333333,107763.916,183306.477,11.0
-0.5,39.76578,107763.916,183306.477,11.0
-0.4,50.01629,107763.916,183306.477,11.0
-0.3,58.269643333333335,107763.916,183306.477,11.0
-0.2,61.481139999999996,107763.916,183306.477,11.0
-0.1,64.371495,107763.916,183306.477,11.0
-4.2,29.04126666666667,107764.197,183306.064,12.0
-4.1,28.275055000000002,107764.197,183306.064,12.0
-3.9,26.43137,107764.197,183306.064,12.0
-3.8,25.874515000000002,107764.197,183306.064,12.0
-3.7,24.951520000000002,107764.197,183306.064,12.0
-3.5,22.686085,107764.197,183306.064,12.0
-3.4,22.002005,107764.197,183306.064,12.0
-3.3,20.74601,107764.197,183306.064,12.0
-3.2,19.11728,107764.197,183306.064,12.0
-3.1,18.23557,107764.197,183306.064,12.0
-3.0,17.889885,107764.197,183306.064,12.0
-2.9,16.207605,107764.197,183306.064,12.0
-2.8,15.05941,107764.197,183306.064,12.0
-2.7,14.262105,107764.197,183306.064,12.0
-2.6,13.61295,107764.197,183306.064,12.0
-2.5,11.89438,107764.197,183306.064,12.0
-2.4,11.11039,107764.197,183306.064,12.0
-2.3,10.364233333333333,107764.197,183306.064,12.0
-2.2,9.45018,107764.197,183306.064,12.0
-2.1,8.917986666666666,107764.197,183306.064,12.0
-2.0,8.16733,107764.197,183306.064,12.0
-1.9,7.86781,107764.197,183306.064,12.0
-1.8,7.60469,107764.197,183306.064,12.0
-1.7,7.422975,107764.197,183306.064,12.0
-1.6,7.308253333333333,107764.197,183306.064,12.0
-1.5,7.46961,107764.197,183306.064,12.0
-1.4,7.7280025000000006,107764.197,183306.064,12.0
-1.3,8.43179,107764.197,183306.064,12.0
-1.2,9.23814,107764.197,183306.064,12.0
-1.1,10.095083333333333,107764.197,183306.064,12.0
-1.0,12.34263,107764.197,183306.064,12.0
-0.9,14.435396666666668,107764.197,183306.064,12.0
-0.8,18.108153333333334,107764.197,183306.064,12.0
-0.7,21.472915,107764.197,183306.064,12.0
-0.6,27.8425475,107764.197,183306.064,12.0
-0.5,35.28895666666667,107764.197,183306.064,12.0
-0.4,44.156527499999996,107764.197,183306.064,12.0
-0.3,52.697496666666666,107764.197,183306.064,12.0
-0.2,61.41649666666666,107764.197,183306.064,12.0
-0.1,63.26573428571429,107764.197,183306.064,12.0
-4.2,29.92873,107764.478,183305.65,13.0
-4.1,28.77591,107764.478,183305.65,13.0
-3.9,26.82569,107764.478,183305.65,13.0
-3.8,26.246615,107764.478,183305.65,13.0
-3.7,24.951520000000002,107764.478,183305.65,13.0
-3.5,23.93185,107764.478,183305.65,13.0
-3.4,22.569085,107764.478,183305.65,13.0
-3.3,21.085904999999997,107764.478,183305.65,13.0
-3.2,20.43295,107764.478,183305.65,13.0
-3.1,19.75323,107764.478,183305.65,13.0
-3.0,17.889885,107764.478,183305.65,13.0
-2.9,17.007955,107764.478,183305.65,13.0
-2.8,16.059955,107764.478,183305.65,13.0
-2.7,14.33948,107764.478,183305.65,13.0
-2.6,13.56828,107764.478,183305.65,13.0
-2.5,12.89051,107764.478,183305.65,13.0
-2.4,11.859855,107764.478,183305.65,13.0
-2.3,10.749704999999999,107764.478,183305.65,13.0
-2.2,10.12804,107764.478,183305.65,13.0
-2.1,9.047623333333334,107764.478,183305.65,13.0
-2.0,8.453545,107764.478,183305.65,13.0
-1.9,8.16812,107764.478,183305.65,13.0
-1.8,7.7217649999999995,107764.478,183305.65,13.0
-1.7,7.377515,107764.478,183305.65,13.0
-1.6,7.259936666666666,107764.478,183305.65,13.0
-1.5,7.05166,107764.478,183305.65,13.0
-1.4,7.617016666666667,107764.478,183305.65,13.0
-1.3,7.807006666666666,107764.478,183305.65,13.0
-1.2,8.2622,107764.478,183305.65,13.0
-1.1,9.389193333333333,107764.478,183305.65,13.0
-1.0,10.389656666666667,107764.478,183305.65,13.0
-0.9,12.604156666666668,107764.478,183305.65,13.0
-0.8,14.553273333333335,107764.478,183305.65,13.0
-0.7,18.416510000000002,107764.478,183305.65,13.0
-0.6,24.101543333333336,107764.478,183305.65,13.0
-0.5,30.2855675,107764.478,183305.65,13.0
-0.4,41.38793,107764.478,183305.65,13.0
-0.3,48.068954999999995,107764.478,183305.65,13.0
-0.1,55.137755,107764.478,183305.65,13.0
-4.2,30.35173,107764.759,183305.236,14.0
-4.1,29.199334999999998,107764.759,183305.236,14.0
-3.9,26.82569,107764.759,183305.236,14.0
-3.8,26.614125,107764.759,183305.236,14.0
-3.7,25.693635,107764.759,183305.236,14.0
-3.5,23.739113333333336,107764.759,183305.236,14.0
-3.4,22.71785,107764.759,183305.236,14.0
-3.3,21.550575000000002,107764.759,183305.236,14.0
-3.2,20.43295,107764.759,183305.236,14.0
-3.1,19.56626,107764.759,183305.236,14.0
-3.0,18.73263,107764.759,183305.236,14.0
-2.9,17.528545,107764.759,183305.236,14.0
-2.8,16.059955,107764.759,183305.236,14.0
-2.7,15.115545000000001,107764.759,183305.236,14.0
-2.6,13.72874,107764.759,183305.236,14.0
-2.5,12.80041,107764.759,183305.236,14.0
-2.4,12.053705,107764.759,183305.236,14.0
-2.3,11.41582,107764.759,183305.236,14.0
-2.2,10.12804,107764.759,183305.236,14.0
-2.1,9.574375,107764.759,183305.236,14.0
-2.0,8.982773333333334,107764.759,183305.236,14.0
-1.9,8.16812,107764.759,183305.236,14.0
-1.8,7.91341,107764.759,183305.236,14.0
-1.7,7.43344,107764.759,183305.236,14.0
-1.6,7.3661449999999995,107764.759,183305.236,14.0
-1.5,7.188689999999999,107764.759,183305.236,14.0
-1.4,7.14256,107764.759,183305.236,14.0
-1.3,7.497016666666667,107764.759,183305.236,14.0
-1.2,7.848696666666666,107764.759,183305.236,14.0
-1.1,8.615845,107764.759,183305.236,14.0
-1.0,9.619333333333334,107764.759,183305.236,14.0
-0.9,10.9816,107764.759,183305.236,14.0
-0.8,13.52823,107764.759,183305.236,14.0
-0.7,16.78935,107764.759,183305.236,14.0
-0.6,21.426389999999998,107764.759,183305.236,14.0
-0.5,26.9258725,107764.759,183305.236,14.0
-0.4,32.399195,107764.759,183305.236,14.0
-0.3,45.554386666666666,107764.759,183305.236,14.0
-0.1,52.666378888888886,107764.759,183305.236,14.0
-4.2,30.8035,107765.04,183304.823,15.0
-4.1,29.622975,107765.04,183304.823,15.0
-3.8,27.356975,107765.04,183304.823,15.0
-3.7,26.108496666666667,107765.04,183304.823,15.0
-3.5,24.10786333333333,107765.04,183304.823,15.0
-3.4,22.79268,107765.04,183304.823,15.0
-3.3,21.94416,107765.04,183304.823,15.0
-3.2,20.737344999999998,107765.04,183304.823,15.0
-3.1,19.37929,107765.04,183304.823,15.0
-3.0,18.85568,107765.04,183304.823,15.0
-2.9,17.68639,107765.04,183304.823,15.0
-2.8,17.021065,107765.04,183304.823,15.0
-2.7,15.115545000000001,107765.04,183304.823,15.0
-2.6,14.24474,107765.04,183304.823,15.0
-2.5,13.229855,107765.04,183304.823,15.0
-2.4,12.577950000000001,107765.04,183304.823,15.0
-2.3,11.41582,107765.04,183304.823,15.0
-2.2,11.10449,107765.04,183304.823,15.0
-2.1,10.06586,107765.04,183304.823,15.0
-2.0,9.176445000000001,107765.04,183304.823,15.0
-1.9,8.890445,107765.04,183304.823,15.0
-1.8,8.20122,107765.04,183304.823,15.0
-1.7,7.7654250000000005,107765.04,183304.823,15.0
-1.6,7.749615,107765.04,183304.823,15.0
-1.5,7.534615,107765.04,183304.823,15.0
-1.4,7.544656666666666,107765.04,183304.823,15.0
-1.3,7.83056,107765.04,183304.823,15.0
-1.2,8.03288,107765.04,183304.823,15.0
-1.1,8.718493333333333,107765.04,183304.823,15.0
-1.0,9.739305,107765.04,183304.823,15.0
-0.9,11.022973333333333,107765.04,183304.823,15.0
-0.8,13.30079,107765.04,183304.823,15.0
-0.7,15.418546666666666,107765.04,183304.823,15.0
-0.6,19.000886666666666,107765.04,183304.823,15.0
-0.5,25.407353333333333,107765.04,183304.823,15.0
-0.4,32.944736666666664,107765.04,183304.823,15.0
-0.3,40.894256,107765.04,183304.823,15.0
-0.1,52.57812875,107765.04,183304.823,15.0
